Name,Symbol,Total gain/loss,Total gain/loss_Currency,Total gain/loss %,Holding value,Holding value_Currency
IND Swift Laboratories Ltd,INDSWFTLAB:NSI,20.20,INR,0.6024,n/a,n/a
India Glycols Ltd,INDIAGLYCO:NSI,"5,188.80",INR,30.79,n/a,n/a
India Nippon Electricals Ltd,INDNIPPON:NSI,"5,602.50",INR,21.49,n/a,n/a
Indiabulls Ventures Ltd,IBVENTURES:NSI,"32,751.25",INR,13.02,n/a,n/a
Indian Card Clothing Company Ltd,INDIANCARD:NSI,-27.00,INR,-1.55,n/a,n/a
Indian Metals and Ferro Alloys Ltd,IMFA:NSI,"8,682.00",INR,23.12,n/a,n/a
Indo Rama Synthetics (India) Ltd,INDORAMA:NSI,"2,433.60",INR,27.12,n/a,n/a
Indoco Remedies Ltd,INDOCO:NSI,"8,394.75",INR,19.65,n/a,n/a
Indraprastha Medical Corporation Ltd,INDRAMEDCO:NSI,142.80,INR,1.38,n/a,n/a
INEOS Styrolution India Ltd,INEOSSTYRO:NSI,"5,366.40",INR,15.41,n/a,n/a
Infinite Computer Solutions (India) Ltd,INFINITE:NSI,721.50,INR,4.64,n/a,n/a
Ingersoll-Rand (India) Ltd,INGERRAND:NSI,"1,785.00",INR,3.29,n/a,n/a
INOX Leisure Ltd,INOXLEISUR:NSI,"-1,483.50",INR,-2.93,n/a,n/a
Intellect Design Arena Ltd,INTELLECT:NSI,"3,041.10",INR,9.15,n/a,n/a
International Paper APPM Ltd,IPAPPM:NSI,"1,250.45",INR,4.88,n/a,n/a
Intrasoft Technologies Ltd,ISFT:NSI,-37.95,INR,-0.2352,n/a,n/a
IOL Chemicals and Pharmaceuticals Ltd,IOLCP:NSI,"1,912.50",INR,31.74,n/a,n/a
ITD Cementation India Ltd,ITDCEM:NSI,"-1,418.60",INR,-2.39,n/a,n/a
IVRCL Ltd,IVRCLINFRA:NSI,174.40,INR,2.41,n/a,n/a
J Kumar Infraprojects Ltd,JKIL:NSI,"4,056.00",INR,11.71,n/a,n/a
